站名,12306站名,电报码,类型
讷河,讷河,NHX,客
许昌,许昌,XCF,客
贵港,贵港,GGZ,客
贵溪,贵溪,GXG,客
贵阳,贵阳,GIW,客
赣州,赣州,GZG,客
达州,达州,RXW,客
连云港,连云港,UIH,客
连云港东,连云港东,UKH,客
通辽,通辽,TLD,客
遂宁,遂宁,NIW,客
遵义,遵义,ZYE,客
邢台,邢台,XTP,客
邯郸,邯郸,HDP,客
邯郸南,邯郸,HDP,客
邵武,邵武,SWS,客
邵阳,邵阳,SYQ,客
邹城,邹城,ZIK,客
郑州,郑州,ZZF,客
郴州,郴州,CZQ,客
都匀,都匀,RYW,客
重庆,重庆,CQW,客
重庆北,重庆北,CUW,客
金华,金华,JBH,客
金华南,金华南,RNH,客
金城江,金城江,JJZ,客
铁岭,铁岭,TLT,客
铜陵,铜陵,TJH,客
银川,银川,YIJ,客
锦州,锦州,JZD,客
镇江,镇江,ZJH,客
镇江东,镇江,ZJH,客
长春,长春,CCT,客
长春南,长春南,CET,客
长沙,长沙,CSQ,客
长治,长治,CZF,客
阜阳,阜阳,FYH,客
防城港,防城港北,FBZ,客
阳泉,阳泉,AQP,客
阿城,阿城,ACB,客
雄安,雄安,IQP,客
青岛,青岛,QDK,客
青田,青田,QVH,客
静海,静海,JHP,客
韶关东,韶关东,SGQ,客
香坊,香坊,XFB,客
香港,香港西九龙,XJA,客
马头,,,货/技/失联
马鞍山,马鞍山,MAH,客
驻马店,驻马店,ZDN,客
鹰潭,鹰潭,YTG,客
麻城,麻城,MCN,客
黄山,黄山,HKH,客
黄村,黄村,HCP,客
黄梅,黄梅,VEH,客
黎塘,黎塘,LTZ,客
黔江,黔江,QNW,客
齐齐哈尔,齐齐哈尔,QHX,客
龙岩,龙岩,LYS,客
龙川,龙川,LUQ,客
龙川北,龙川,LUQ,客
